"Id","GoodCaegory.Id","Ranking","AccountantCode","GoodCategory.Name","Name","GoodUnit.Name","GoodUnit.Id","GoodType"
1,1,0,"Khotong1428","hàng bếp tổng - món chính","Sườn xương","Miếng",1,1
2,1,1,"Khotong1401","hàng bếp tổng - món chính","Sườn Đặc biệt","Miếng",1,1
3,1,2,"Khotong1403","hàng bếp tổng - món chính","Heo nướng","Cây",2,1
4,1,3,"Khotong1437","hàng bếp tổng - món chính","Sườn non","Miếng",1,1
5,1,4,"Khotong1445","hàng bếp tổng - món chính","Sườn đùi gà","Cái",3,1
6,1,5,"Khotong1454","hàng bếp tổng - món chính","Ba rọi nướng","Miếng",1,1
7,1,6,"Khotong1450","hàng bếp tổng - món canh","NƯỚC BANH CANH","Phần",4,1
8,2,0,"Khotong1461","hàng bếp tổng - món canh","Bún riêu cua","Phần",4,1
9,2,1,"Khotong1462","hàng bếp tổng - món canh","Nước bún riêu cua","Phần",4,1
10,2,2,"Khotong1457","hàng bếp tổng - món canh","CANH BÍ ĐỎ","Phần",4,1
11,2,3,"Khotong1442","hàng bếp tổng - món canh","Khổ qua","Phần",4,1
12,2,4,"Khotong1488","hàng bếp tổng - món canh","Nước Lèo Canh Chay","Phần",4,1
13,2,5,"Khotong1455","hàng bếp tổng - món canh","Bún chả cá","Phần",4,1
14,2,6,"Khotong1456","hàng bếp tổng - món canh","Nước bún chả cá","Phần",4,1
15,2,7,"Khotong1466","hàng bếp tổng - món canh","Cháo trắng","Phần",4,1
16,2,8,"Khotong1496","hàng bếp tổng - món canh","Bún Thái chay","Phần",4,1
17,2,9,"Khotong1497","hàng bếp tổng - món canh","Nước bún Thái chay","Phần",4,1
18,3,0,"Khotong1405","hàng bếp tổng - tủ mát bên ngoài","Chả","Bịch",5,1
19,3,1,"Khotong1402","hàng bếp tổng - tủ mát bên ngoài","Tàu hũ ky","Miếng",1,1
20,3,2,3540,"hàng bếp tổng - tủ mát bên ngoài","Nem chua","Hộp",6,1
21,3,3,2502,"hàng bếp tổng - tủ mát bên ngoài","Sandwich","Bịch",5,1
