"CultureInfoString","Code","Value"
"VN","BackToList","Quay lại danh sách"
"VN","Branch","Chi nhánh"
"VN","BranchName","Tên chi nhánh"
"VN","BranchType","Loại chi nhánh"
"VN","Confirm","Xác nhận"
"VN","Create","Thêm"
"VN","CreateNew","Tạo mới"
"VN","Dashboard","Thông tin chung"
"VN","Delete","Xóa"
"VN","Edit","Sửa"
"VN","Hello","Xin chào"
"VN","Id","Mã"
"VN","List","Danh sách"
"VN","Login","Đăng nhập"
"VN","Logoff","Đăng xuất"
"VN","Name","Tên"
"VN","Password","Mật khẩu"
"VN","Ranking","Xếp hạng"
"VN","Save","Lưu"
"VN","UserName","Tên người dùng"
"VN","WantToDelete","Bạn có thật sự muốn xóa không ?"
